"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11416","user login test","chromium","2026-08-06","passed","2026-08-06","","Login.spec.ts","",""
"","7","user login test @master @sanity @regression","chromium","2026-08-09","failed","2026-08-09","","Login.spec.ts","",""
"","6099","Login Test with JSON Data: Valid login @datadriven","chromium","2026-08-08","passed","2026-08-08","","LoginDataDriven.spec.ts","",""
"","6","user registration test @master @sanity @regression","chromium","2026-08-09","failed","2026-08-09","","AccountRegistration.spec.ts","",""
"","7489","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-08-08","passed","2026-08-08","","LoginDataDriven.spec.ts","",""
"","6","Product search test @master @regression","chromium","2026-08-09","failed","2026-08-09","","SearchProduct.spec.ts","",""
"","8223","Login Test with CSV Data: Valid login @datadriven","chromium","2026-08-08","passed","2026-08-08","","LoginDataDriven.spec.ts","",""
"","6","User logout test @master @regression","chromium","2026-08-09","failed","2026-08-09","","Logout.spec.ts","",""
"","11103","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-08-08","passed","2026-08-08","","LoginDataDriven.spec.ts","",""
"","11174","user registration test","chromium","2026-08-06","passed","2026-08-06","","AccountRegistration.spec.ts","",""
"","5","Add product to cart test @master @regression","chromium","2026-08-09","failed","2026-08-09","","AddToCart.spec.ts","",""
"","22389","execute end-to-end test flow @end-to-end","chromium","2026-08-08","passed","2026-08-08","","EndToEnd.spec.ts","",""
